claim,claim_en,verdict,train_mask,val_mask,test_mask
Major viral outbreaks have originated in China.,Major viral outbreaks have originated in China.,misinformation,True,False,False
"Video shows residents queuing for death certificates in Wuhan, China the ongoing novel coronavirus epidemic.","Video shows residents queuing for death certificates in Wuhan, China the ongoing novel coronavirus epidemic.",misinformation,True,False,False
El video muestra la despedida de dos ancianos que fueron diagnosticados con el nuevo coronavirus,The video shows the farewell of two elderly people who were diagnosed with the new coronavirus,misinformation,True,False,False
This video shows coronavirus patients in China,This video shows coronavirus patients in China,misinformation,True,False,False
చైనా లో కొరోనా వైరస్ బారిన పాడిన బాధితుల ఫోటో.,Photo of victims of corona virus infection in China.,misinformation,True,False,False
Pasangan lansia yang terkena virus corona,An elderly couple affected by the corona virus,misinformation,True,False,False
This video shows bodies on a Wuhan street during the new coronavirus epidemic,This video shows bodies on a Wuhan street during the new coronavirus epidemic,misinformation,True,False,False
कोरोना वायरस से संक्रमित लोगों को पकड़ने के लिए चीनी पुलिस की परेशानी दिखाता वीडियो.,Video showing the trouble of Chinese police to catch people infected with the corona virus.,misinformation,True,False,False
Crocodile trapped in a waterlogged street in eastern Indian state of Bihar's capital city Patna.,Crocodile trapped in a waterlogged street in eastern Indian state of Bihar's capital city Patna.,misinformation,True,False,False
पटना के एक इलाके में भरे पानी में मगरमच्छ देखा गया.,Crocodile was seen in filled water in an area of Patna.,misinformation,True,False,False
"ये तस्वीर भूतपूर्व प्रधानमंत्री राजीव गांधी की है, जिसमें वे 9 नवंबर, 1989 को अयोध्या में राम मंदिर के ‘भूमि पूजन’ के दौरान पुजारियों के साथ मौजूद हैं.","This picture is of former Prime Minister Rajiv Gandhi, in which he is present with the priests during the 'Bhoomi Pujan' of the Ram temple in Ayodhya on November 9, 1989.",misinformation,True,False,False
अनुच्छेद 370 हटाने के बाद कश्मीर के ताजा हालात,Latest situation in Kashmir after abrogation of Article 370,misinformation,True,False,False
Claim muslim men beaten by hindus for not saying jai shree ram in gujarat,Claim muslim men beaten by hindus for not saying jai shree ram in gujarat,misinformation,True,False,False
Claim muslim boys beaten and forced to chant jai shree ram,Claim muslim boys beaten and forced to chant jai shree ram,misinformation,True,False,False
मुस्लिम लड़कों ने बदला लेने के लिए हिंदू लड़की को पीटा,Muslim boys beat Hindu girl to take revenge,misinformation,True,False,False
सुशांत सिंह राजपूत के पिता केके सिंह ने ट्विटर पर कहा कि सुशांत की हत्या की गई है और इस मामले सीबीआई जांच होनी चाहिए.,Sushant Singh Rajput's father KK Singh said on Twitter that Sushant has been murdered and there should be a CBI inquiry into the matter.,misinformation,True,False,False
"अमेरिकी राष्ट्रपति डोनाल्ड ट्रंप की पत्नी मेलानिया ट्रंप का फोटो, जिसमें उन्होंने काली आकृतियों वाली सफेद ड्रेस पहनी है. इस ड्रेस पर आकृतियां देह व्यापार के शिकार लोगों ने बनाई थीं.","Photo of Melania Trump, wife of US President Donald Trump, in which she is wearing a white dress with black figures. The figures on this dress were made by the victims of prostitution.",misinformation,True,False,False
"राहुल ने कहा पीएम ने झूठ बोला, अमेठी में ऑर्डिनेंस फैक्ट्री का शिलान्यास मैंने खुद 2010 में किया था.","Rahul said that the PM lied, I myself had laid the foundation stone of the Ordnance Factory in Amethi in 2010.",misinformation,True,False,False
सारण और महाराजगंज लोकसभा क्षेत्र में BDO की मौजूदगी में EVM से भरी एक गाड़ी स्ट्रांग रूम में घुसने की कोशिश कर रही थी.,A vehicle full of EVMs was trying to enter the strong room in the presence of BDO in Saran and Maharajganj Lok Sabha constituencies.,misinformation,True,False,False
नागरिकता संशोधन अधिनियम के खिलाफ मुंबई में हुई रैली,Rally held in Mumbai against Citizenship Amendment Act,misinformation,False,True,False
नागरिकता संशोधन विधेयक के विरोध में मुंबई के मोहम्मद अली रोड पर प्रदर्शन की तस्वीर.,A photo of a protest against the Citizenship Amendment Bill at Mohammad Ali Road in Mumbai.,misinformation,False,True,False
वायरल फोटो में अमेरिका के पूर्व राष्ट्रपति बराक ओबामा टीवी पर पीएम नरेंद्र मोदी को शपथ लेते हुए देख रहे हैं.,"In the viral photo, former US President Barack Obama is watching PM Narendra Modi taking oath on TV.",misinformation,True,False,False
दिवाली पर मुंबई में हुई आतिशबाजी का वीडियो.,Video of fireworks in Mumbai on Diwali.,misinformation,True,False,False
Claim: Jashodaben Modi Protests With The Shaheen Bagh Protesters,Claim: Jashodaben Modi Protests With The Shaheen Bagh Protesters,misinformation,False,True,False
बुरका पहन कर शाहीन बाग में हो रहे विरोध प्रदर्शन में पहुंचा यह व्यक्ति.,"Wearing a burqa, this person reached the protest in Shaheen Bagh.",misinformation,False,True,False
शाहीन बाग में पुरुष भी बुर्का पहनकर सीएए के खिलाफ विरोध-प्रदर्शन कर रहे हैं.,"In Shaheen Bagh, men are also protesting against CAA wearing burqa.",misinformation,False,True,False
कश्मीरियों ने नरेंद्र मोदी सरकार द्वारा 35-A को रद्द करने के खिलाफ़ किया प्रदर्शन,Kashmiris protest against revocation of 35-A by Narendra Modi government,misinformation,True,False,False
Video shows recent protests in Kashmir against Indian security forces,Video shows recent protests in Kashmir against Indian security forces,misinformation,True,False,False
घाटी में अनुच्छेद 35A निरस्त होने के बाद लाखों कश्मीरियों ने विरोध प्रदर्शन किया.,Lakhs of Kashmiris protested after the abrogation of Article 35A in the Valley.,misinformation,True,False,False
आयकर रिटर्न भरने की अंतिम तारीख बढ़कर हुई 30 सितंबर 2019,Last date for filing income tax return extended to 30 September 2019,misinformation,True,False,False
बीजेपी ने रची थी पुलवामा हमले की साजिश,BJP had hatched a conspiracy to attack Pulwama,misinformation,True,False,False
तस्वीर में किसान यूनियन का झंडा लिए दादी वही महिला हैं जो दिल्ली के शाहीन बाग में नागरिकता कानून के विरोध में धरने पर बैठी थीं.,"In the picture, the grandmother holding the flag of the farmers union is the same woman who was sitting on a dharna in Delhi's Shaheen Bagh in protest against the citizenship law.",misinformation,False,True,False
नए साल से यूपीआई के जरिए लेनदेन करने के लिए चार्ज देना होगा.,"From the new year, charges will have to be paid for transacting through UPI.",misinformation,True,False,False
राज ठाकरे की पत्नी कंगना रनौत के बचाव में सोशल मीडिया पर उतर गई हैं.,Raj Thackeray's wife has come out on social media in defense of Kangana Ranaut.,misinformation,True,False,False
चीन की पुलिस ने कोरोनावायरस से संक्रमित महिला को मार डाला.,Chinese police killed a woman infected with coronavirus.,misinformation,True,False,False
Photo shows ex-judge who acquitted Aseemanand joining BJP,Photo shows ex-judge who acquitted Aseemanand joining BJP,misinformation,True,False,False
মক্কা মসজিদ বস্ফোরণ মামলায় অসীমানন্দকে রেহাই দেওয়া বিচারপতি বিজেপিতে যোগ দিয়েছেন,Aseemanand acquitted in Mecca mosque blast case joins BJP,misinformation,True,False,False
मक्का मस्जिद ब्लास्ट केस के आरोपी स्वामी असीमानंद को बरी करने वाले एनआईए के जज रविंद्र रेड्डी बीजेपी में शामिल हो गए है,"NIA judge Ravindra Reddy, who acquitted Swami Aseemanand, accused in the Mecca Masjid blast case, has joined the BJP.",misinformation,True,False,False
दीपिका पादुकोण का एक वीडियो जिसमें वे लॉकडाउन के दौरान शराब खरीदते हुए दिख रही हैं.,A video of Deepika Padukone in which she is seen buying liquor during the lockdown.,misinformation,True,False,False
Budweiser admits several employees have been pissing in its beer tanks for years.,Budweiser admits several employees have been pissing in its beer tanks for years.,misinformation,True,False,False
बडवाइजर ने स्वीकार किया है कि उसके कई कर्मचारी सालों से कंपनी के बीयर टैंक में पेशाब कर रहे हैं.,Budweiser has admitted that many of its employees have been urinating in the company's beer tanks for years.,misinformation,True,False,False
बीजेपी आईटी सेल के सदस्य ध्रुव सक्सेना और 10 लोगों को आईएसआई के जासूस होने के आरोप में गिरफ्तार किया.,BJP IT cell member Dhruv Saxena and 10 people arrested for being ISI spies.,misinformation,True,False,False
भारत में चीन के बहिष्कार की मांग उठते देख चीनी कंपनियों ने ‘Boycott China’ लिखी टोपियां और टी-शर्ट बनाना शुरू कर दिया है.,"Seeing the demand for boycott of China in India, Chinese companies have started making caps and T-shirts written 'Boycott China'.",misinformation,False,True,False
"Viral video shows Deepak Sathe, Air India Express Pilot, who passed away in Kerala plane crash.","Viral video shows Deepak Sathe, Air India Express Pilot, who passed away in Kerala plane crash.",misinformation,False,False,True
"Soon after the death of Capt. Deepak Vasant Sathe in the Kozhikode Airport plane crash a video gone viral with a note saying “Beautiful song by Capt. Deepak Vasant Sathe who died yesterday in the plane crash, sparing his own life and tried his best to save as much life as possible. Hearty Condolence”.","Soon after the death of Capt. Deepak Vasant Sathe in the Kozhikode Airport plane crash a video gone viral with a note saying “Beautiful song by Capt. Deepak Vasant Sathe who died yesterday in the plane crash, sparing his own life and tried his best to save as much life as possible. Hearty Condolence”.",misinformation,False,False,True
Video detik-detik terakhir sebelum pesawat Sriwijaya Air jatuh di bulan Januari 2021,Video of the last seconds before the Sriwijaya Air plane crashed in January 2021,misinformation,False,False,True
Video penumpang Sriwijaya Air SJ 182 panik sebelum pesawat jatuh di bulan Januari 2021,Video of Sriwijaya Air SJ 182 passengers panicking before the plane crashed in January 2021,misinformation,False,False,True
"Video shows Captain Deepak Sathe, who died in the Air India Express plane crash in Kerala singing an iconic Bollywood song.","Video shows Captain Deepak Sathe, who died in the Air India Express plane crash in Kerala singing an iconic Bollywood song.",misinformation,False,False,True
"केरल में एयर इंडिया एक्सप्रेस विमान दुर्घटना में मारे गए कैप्टन दीपक साठे का वीडियो, जिसमें वे मशहूर गाना 'घर से निकलते ही' गा रहे हैं.","Video of Captain Deepak Sathe, who died in the Air India Express plane crash in Kerala, in which he is singing the famous song 'Ghar se nikte hi'.",misinformation,False,False,True
भारत में मुस्लिम महिला की बेरहमी से पिटाई का वीडियो.,Video of brutal beating of Muslim woman in India.,misinformation,True,False,False
इटली से आई फ्लाइट में ज्यादातर लोगों को कोरोना वायरस.,Corona virus to most of the people on the flight from Italy.,misinformation,True,False,False
Jafrabad gunman seen with Kapil Mishra during his provocative speech,Jafrabad gunman seen with Kapil Mishra during his provocative speech,misinformation,True,False,False
"जाफराबाद में पुलिस को धमकाने और फायरिंग करने वाले शख्स का नाम शाहरुख नहीं, अनुराग मिश्रा है.","The person who threatened the police and opened fire in Jaffrabad is not Shahrukh, but Anurag Mishra.",misinformation,True,False,False
कोरोना वायरस से संक्रमित कनाडा के प्रधानमंत्री जस्टिन ट्रूडो की पत्नी का वीडियो.,Video of the wife of Canadian Prime Minister Justin Trudeau infected with the corona virus.,misinformation,True,False,False
झांसी में ईवीएम लदी गाड़ियां मिलीं जिससे ईवीएम छेड़छाड़ का शक है.,Vehicles laden with EVMs were found in Jhansi due to which there is a suspicion of EVM tampering.,misinformation,True,False,False
मुंबई से कांग्रेस पार्टी के विधायक नसीम खान ने 'पाकिस्तान जिंदाबाद' के नारे लगाए,Congress party MLA from Mumbai Naseem Khan raised slogans of 'Pakistan Zindabad',misinformation,True,False,False
Claim video claiming muslims protesting in Kashmir after Eid prayers against article 370 dissolution,Claim video claiming muslims protesting in Kashmir after Eid prayers against article 370 dissolution,misinformation,True,False,False
ईद की नमाज के बाद कश्मीर में अनुच्छेद 370 के प्रावधान खत्म किये जाने के खिलाफ विरोध प्रदर्शन का ताजा वीडियो,Latest video of protest against abrogation of Article 370 in Kashmir after Eid prayers,misinformation,True,False,False
ये वीडियो कश्मीर में पुलिस की ज्यादती का है.,This video is of police brutality in Kashmir.,misinformation,True,False,False
"New Delhi (Vishvas News). A viral video of police abusing a woman is shared with a claim that the woman, mother of the Hathras incident victim was beaten by police for pleading to see her daughter’s body before it was cremated.","New Delhi (Vishvas News). A viral video of police abusing a woman is shared with a claim that the woman, mother of the Hathras incident victim was beaten by police for pleading to see her daughter’s body before it was cremated.",misinformation,True,False,False
दावा किया जा रहा है कि वायरल वीडियो कश्‍मीर का है।,It is being claimed that the viral video is from Kashmir.,misinformation,True,False,False
कश्मीर में लोगों को पी​टते हुए पुलिस का वीडियो,Video of police beating people in Kashmir,misinformation,True,False,False
الرئيس الصيني يزور أحد المساجد ويطلب من المسلمين التضرع والدعاء إلى الله كي يرفع عنهم البلاء ويخلصهم من فايروس كورونا.,The Chinese president visits a mosque and asks Muslims to pray to God to lift the affliction from them and rid them of the Corona virus.,misinformation,True,False,False
চীনের রাষ্ট্রপতি মসজিদে এসে দোয়া চাইলেন করোনাভাইরাস থেকে মুক্তির জন্য,The Chinese president came to the mosque and asked for prayers to get rid of the coronavirus,misinformation,True,False,False
चीन के पीएम ने कुरान का अनुवाद करने की बात कही और कोरोना वायरस से बचाव का एकमात्र तरीका अल्लाह के 'सजदे' और मस्जिद में नमाज़ अदा करना बताया.,The Chinese PM talked about translating the Quran and the only way to protect against the corona virus was to worship Allah and offer prayers in the mosque.,misinformation,True,False,False
"A photo of coffins in the 2017 movie ""Unlocked"" is being used by news media ""telling us that this is ITALY right now because of COVID 19 virus!!”","A photo of coffins in the 2017 movie ""Unlocked"" is being used by news media ""telling us that this is ITALY right now because of COVID 19 virus!!”",misinformation,True,False,False
صور لجثث ضحايا فيروس كورونا في أمريكا مصفوفة في الشوارع,Pictures of the corpses of Corona virus victims in America lined up in the streets,misinformation,True,False,False
ఉస్మానియా ఆసుపత్రిలో కరోనా వైరస్ బారిన పడి ప్రాణాలు కోల్పోయిన వ్యక్తుల శవాలకు సంబంధించిన వీడియో,Video of corpses of corona virus victims at Osmania Hospital,misinformation,True,False,False
Video yang diklaim sebagai video gereja di Italia yang hampir semua jemaatnya telah meninggal karena virus Corona Covid-19 saat dibuka kembali,The video that is claimed to be a church video in Italy where almost all of the congregation has died due to the Corona Covid-19 virus when it reopens,misinformation,True,False,False
Fotos de ataúdes de personas mueras por el coronavirus en Italia,Photos of coffins of people killed by coronavirus in Italy,misinformation,True,False,False
فيديو لدفن إيرانيين أصيبوا بفايروس كورونا في مقابر الأحواز، ونُشر الفيديو نفسه أيضاً على أنّه مسربٌ من مقبرة النجف لدفن أحد الأشخاص كان توفي إثر إصابته بفايروس كورونا.,"A video of the burial of Iranians infected with the Corona virus in the Ahwaz cemeteries, and the same video was also published as a leak from the Najaf cemetery to bury a person who had died of infection with the Corona virus.",misinformation,True,False,False
This photo shows bodies of the coronavirus victims in Italy,This photo shows bodies of the coronavirus victims in Italy,misinformation,True,False,False
Foto-foto jenazah serta peti mati dari pasien yang terinfeksi virus Corona Covid-19 di Ekuador yang digeletakkan di pinggir jalan,Photographs of corpses and coffins of patients infected with the Corona Covid-19 virus in Ecuador laid on the side of the road,misinformation,True,False,False
Coffins of coronavirus victims in Italy,Coffins of coronavirus victims in Italy,misinformation,True,False,False
Photo shows coffins being transported for the victims of new coronavirus wave in Sri Lanka in October 2020,Photo shows coffins being transported for the victims of new coronavirus wave in Sri Lanka in October 2020,misinformation,True,False,False
"En Brasil, féretros que debían tener víctimas de COVID-19 coronavirus tenían piedras","In Brazil, coffins that were supposed to have victims of COVID-19 coronavirus had stones",misinformation,True,False,False
ভিডিওটি করোনা ভাইরাসের,The video is of the Corona virus,misinformation,True,False,False
Así está España ataúdes de víctimas del coronavirus,This is Spain coffins of victims of the coronavirus,misinformation,True,False,False
इटली में कोरोना वायरस से मरने वाले लोगों के अंतिम संस्कार की तस्वीर.,Photo of funerals of people who died of corona virus in Italy.,misinformation,True,False,False
अबू धाबी में पहला हिंदू मंदिर बन कर तैयार हुआ,First Hindu temple completed in Abu Dhabi,misinformation,False,True,False
दिल्ली में NPR और NRC के विरोध में मुस्लिमों की रैली का वीडियो,Video of Muslim rally in Delhi against NPR and NRC,misinformation,False,True,False
न्यूजीलैंड को कोरोना-मुक्त घोषित करने के बाद वहां की प्रधानमंत्री जेसिंडा अर्डर्न हिंदू मंदिर में दर्शन के लिए गईं.,"After declaring New Zealand corona-free, Prime Minister Jacinda Ardern went to visit the Hindu temple there.",misinformation,False,True,False
فنلندا تصبح أول بلد في العالم يعتمد 4 أيام عمل أسبوعيا من الإثنين إلى الخميس لمدة 6 ساعات باليوم,Finland becomes the first country in the world to adopt 4 working days a week from Monday to Thursday for 6 hours a day,misinformation,True,False,False
Finland planlægger fire dages arbejdsuge,Finland is planning a four-day working week,misinformation,True,False,False
La Finlande envisage d'adopter la semaine de travail de quatre jours,Finland plans to adopt four-day working week,misinformation,True,False,False
Finlandia plantea la jornada de cuatro días y seis horas,"Finland raises the four-day, six-hour shift",misinformation,True,False,False
Finland's Prime Minister has proposed the introduction of six hours work shifts and four day working week.,Finland's Prime Minister has proposed the introduction of six hours work shifts and four day working week.,misinformation,True,False,False
"Finlândia terá jornada de trabalho de seis horas, quatro dias por semana","Finland will have a six-hour working day, four days a week",misinformation,True,False,False
फिनलैंड की प्रधानमंत्री ने सप्ताह में चार कार्यदिवस और रोजाना काम के चार घंटे का प्रस्ताव रखा है.,The Prime Minister of Finland has proposed four working days a week and four hours of daily work.,misinformation,True,False,False
"कांग्रेस नेता नसीमुद्दीन सिद्दीकी ने कहा, “हम मुसलमान पहले हैं, हिंदुस्तानी बाद में”","Congress leader Naseemuddin Siddiqui said, ""We are Muslims first, Hindustani later""",misinformation,False,True,False
Claim: Did delhi students rallied to support farmer protest,Claim: Did delhi students rallied to support farmer protest,misinformation,False,True,False
ছবির দাবি সরকারি কৃষি সংস্কার আইনে পাশের বিরুদ্ধে কৃষকের প্রতিবাদ,The farmers' protest against the government's agrarian reform law,misinformation,False,True,False
కొత్త వ్యవసాయ చట్టాలకు వ్యతిరేకంగా ఇప్పుడు జరుగుతున్న రైతుల నిరసనలకు సంబంధించిన ఫోటోలు,Photos of farmers' protests now taking place against new agricultural laws,misinformation,False,True,False
Photos related to recent farmers’ protest in Delhi,Photos related to recent farmers’ protest in Delhi,misinformation,False,True,False
Picture shows a massive gathering of protesting farmers at the Delhi border.,Picture shows a massive gathering of protesting farmers at the Delhi border.,misinformation,False,True,False
कृषि बिल्स के ख़िलाफ़ किसानो ने निकाली रैलियां,Farmers took out rallies against agriculture bills,misinformation,False,True,False
हरियाणा में कृषि संबंधी अध्यादेश को लेकर केंद्र सरकार के ख़िलाफ़ हरियाणा में किसानों ने विरोध प्रदर्शन किया,Farmers in Haryana protest against the central government regarding the ordinance on agriculture in Haryana.,misinformation,False,True,False
తాజాగా ఢిల్లీలో రైతులు చేస్తున్న నిరసనలకి సంబంధించిన ర్యాలీ వీడియో,Video of the latest rally of farmers protesting in Delhi,misinformation,False,True,False
"कृषि विधेयकों को लेकर चल रहे किसानों के विरोध-प्रदर्शन की तस्वीर, जिसमें भारी जनसैलाब देखा जा सकता है.","A picture of the farmers' protest against the agriculture bills, in which a huge crowd can be seen.",misinformation,False,True,False
अन्य देशों में कोरोना वायरस का टेस्ट या तो मुफ्त है या फिर साधारण कीमत पर है लेकिन भारत में इसकी कीमत 4500 रुपये है.,In other countries the test of corona virus is either free or at a simple cost but in India its cost is Rs 4500.,misinformation,True,False,False
जियो ने सभी भारतीय नागरिकों के लिए 498 रुपये के फ्री रिचार्ज का ऐलान किया.,Jio announced free recharge of Rs 498 for all Indian citizens.,misinformation,True,False,False
प्रधानमंत्री नरेंद्र मोदी ने भारतीय अर्थव्यवस्था पर सलाह लेने के लिए डॉ मनमोहन सिंह से मुलाकात की है.,Prime Minister Narendra Modi has met Dr. Manmohan Singh to seek advice on the Indian economy.,misinformation,True,False,False
ये तस्वीर दिखाती है कि बिहार में बीजेपी और जेडीयू की ओर से वोटर्स को शराब की बोतलें बांटी जा रही हैं.,This picture shows that liquor bottles are being distributed to voters in Bihar by BJP and JDU.,misinformation,True,False,False
Muslims in Sudan attacked the French Embassy,Muslims in Sudan attacked the French Embassy,misinformation,False,True,False
हाल में हुई एक घटना में सूडान में मुसलमानों ने फ्रांस के दूतावास में आग लगा दी.,"In a recent incident, Muslims in Sudan set fire to the French embassy.",misinformation,False,True,False
"हाल ही में FAU-G नाम के जिस मोबाइल गेम को एक्टर अक्षय कुमार ने लॉन्च किया, उसे एक्टर सुशांत सिंह राजपूत ने बनाया था.","Recently, the mobile game named FAU-G, which was launched by actor Akshay Kumar, was made by actor Sushant Singh Rajput.",misinformation,True,False,False
"रूस के राष्ट्रपति व्लादिमीर पुतिन की बेटी का एक वीडियो, जिसमें वह कोरोना वैक्सीन का पहला डोज लेते हुए दिख रही हैं.","A video of the daughter of Russian President Vladimir Putin, in which she is seen taking the first dose of the corona vaccine.",misinformation,True,False,False
जर्मनी ने कोरोना वायरस की वजह से अर्थव्यवस्था को हुए नुकसान के लिए चीन को 130 बिलियन पाउंड का बिल भेजा है.,Germany has sent a bill of 130 billion pounds to China for the damage caused to the economy due to the corona virus.,misinformation,True,False,False
पुणे में प्लेटफॉर्म टिकटों पर अब“अडानी रेलवे”लिखा होने के साथ टैगलाइन दी गई है कि“रेलवे अब अडानी ग्रुप की निजी संपत्ति है.”,"Platform tickets in Pune now carry the tagline ""Adani Railway"" with the words ""Railways now a private property of the Adani Group"".",misinformation,False,True,False
photo of dead Sikh man from farmers protest,photo of dead Sikh man from farmers protest,misinformation,False,True,False
ছবির দাবি দিল্লি সীমেন্তে আন্দোলনরত মৃত কৃষক,The photo claims a dead farmer protesting at the Delhi border,misinformation,False,True,False
"सिंघु बॉर्डर पर किसानों के प्रदर्शन के दौरान का वीडियो, जिसमें एक किसान जमीन पर गिर गया और उसकी मौत हो गई.","Video of farmers protesting at Singhu border, in which a farmer fell to the ground and died.",misinformation,False,True,False
"आजतक की खबर के मुताबिक, लॉकडाउन दो जून तक बढ़ाया जा सकता है.","According to the news of Aaj Tak, the lockdown can be extended till June 2.",misinformation,False,True,False
Claim present situation in Kashmir where Muharram procession is stopped,Claim present situation in Kashmir where Muharram procession is stopped,misinformation,True,False,False
कश्मीर में पुलिस के मुहर्रम जुलूस रोकने का ताजा वीडियो.,Latest video of police stopping Muharram procession in Kashmir.,misinformation,True,False,False
पहले दौर के चुनावों के दौरान लोगों ने ईवीएम तोड़ दिये क्योंकि किसी भी बटन को दबाने पर वोट बीजेपी को पड़ रहे थे.,"During the first round of elections, people broke EVMs because on pressing any button, votes were going to BJP.",misinformation,True,False,False
"साध्वी प्रज्ञा सिंह ठाकुर ने कहा कि मुख्यमंत्री मनोहर पर्रिकर की कैंसर से मृत्यु इसलिए हुई, क्योंकि उन्होंने गोवा में गोमांस का सेवन करने की अनुमति दी थी.",Sadhvi Pragya Singh Thakur said that Chief Minister Manohar Parrikar died of cancer because he had allowed beef consumption in Goa.,misinformation,True,False,False
Pandemija koronavirusa je planirana i naknadno zamijenjena prosvjedima protiv policijske brutalnosti. Oboje je zamka za Donalda Trumpa.,The coronavirus pandemic was planned and subsequently replaced by protests against police brutality. Both are traps for Donald Trump.,misinformation,False,True,False
अमेरिकी राष्ट्रपति डोनाल्ड ट्रंप कोरोना वायरस को हथियार बनाकर अमेरिकियों को बर्बाद करना चाहते थे. इसके विरोध में हजारों लोग सड़क पर उतरे हैं.,US President Donald Trump wanted to destroy Americans by making the corona virus a weapon. Thousands of people have taken to the road in protest against this.,misinformation,False,True,False
सड़क पर लेटकर किस कर रहे युवा जोड़े की ये तस्वीर अमेरिका में जॉर्ज फ्लॉयड की मौत के विरोध में हो रहे प्रदर्शन के दौरान खींची गई है.,This picture of a young couple lying on the road kissing has been taken during a protest against the death of George Floyd in America.,misinformation,False,False,True
चुनाव नतीजों के बाद आप विधायक अमानतुल्लाह ने ट्वीट किया कि इस्लाम की जीत हुई और शाहीन बाग को धन्यवाद दिया.,"After the election results, AAP MLA Amanatullah tweeted that Islam had won and thanked Shaheen Bagh.",misinformation,False,True,False
"भारत, चिनूक हेलीकॉप्टर्स पाने वाला इकलौता गैर NATO देश है.",India is the only non-NATO country to get Chinook helicopters.,misinformation,False,False,True
వీడియోలోని ప్రసంగంలో ఆమ్ ఆద్మీ పార్టీ (ఆప్) ఎమ్మెల్యే అమానతుల్లా ఖాన్ ‘అల్లాహ్ దయతో ఈ దేశం షరియా దేశం కాబోతుంది’ అని అన్నాడు.,"Speaking on the video, Aam Aadmi Party (AAP) MLA Amanatullah Khan said, ""By the grace of Allah, this country will become a Sharia country.""",misinformation,False,True,False
Video Shows AAP MLA Amanatullah Khan Say We Will Become Sharia,Video Shows AAP MLA Amanatullah Khan Say We Will Become Sharia,misinformation,False,True,False
AAP नेता अमानतुल्लाह खान ने कहा हम शरिया बनेंगे,AAP leader Amanatullah Khan said we will become Sharia,misinformation,False,True,False
مقطع فيديو يظهر شابة صينية تضرب شابين تحرشا بها.,A video clip shows a young Chinese woman beating two young men who harassed her.,misinformation,True,False,False
Video clip shows people thrashing Kanhaiya Kumar in Bihar,Video clip shows people thrashing Kanhaiya Kumar in Bihar,misinformation,True,False,False
एक वीडियो जिसमें हरियाणा पुलिस का एक जवान महिलाओं को डंडे से बुरी तरह पीट रहा है और गाली गलौज कर रहा है.,A video in which a Haryana Police jawan is beating women badly with a stick and abusing them.,misinformation,True,False,False
Image of Indian Army soldiers killed in violent face off between India and China at Galwan valley,Image of Indian Army soldiers killed in violent face off between India and China at Galwan valley,misinformation,False,True,False
সম্প্রতি লাদাখের সংঘর্ষে শহীদ ২০ জন ভারতীয় সেনার সাথে এই কুকুর দুটিও প্রাণ হারায়,The two dogs were killed along with 20 Indian soldiers killed in a recent clash in Ladakh,misinformation,False,True,False
Names of 56 Chinese soldiers who died in the face-off with the Indian army at Galwan valley (Ladakh),Names of 56 Chinese soldiers who died in the face-off with the Indian army at Galwan valley (Ladakh),misinformation,False,True,False
This photo shows an Indian soldier injured in the June 2020 Galwan Valley clash with Chinese troops,This photo shows an Indian soldier injured in the June 2020 Galwan Valley clash with Chinese troops,misinformation,False,True,False
Image of 75 Indian troops killed by China at Ladakh,Image of 75 Indian troops killed by China at Ladakh,misinformation,False,True,False
30 Chinese soldiers killed in Ladakh conflict.,30 Chinese soldiers killed in Ladakh conflict.,misinformation,False,True,False
This is a picture of clashes between Indian and Chinese troops in Ladakh.,This is a picture of clashes between Indian and Chinese troops in Ladakh.,misinformation,False,True,False
30 Chinese soldiers killed in Galwan Valley,30 Chinese soldiers killed in Galwan Valley,misinformation,False,True,False
"Image of 57 Indian soldiers martyred in the recent face off with Chinese troops in Galwan Valley, Ladakh","Image of 57 Indian soldiers martyred in the recent face off with Chinese troops in Galwan Valley, Ladakh",misinformation,False,True,False
এটি গালওয়ান উপত্যকায় চীনা সেনাদের সাথে সংঘর্ষে আহত ভারতীয় সেনাদের ভিডিও,This is a video of Indian soldiers wounded in a clash with Chinese troops in the Galwan Valley,misinformation,False,True,False
Viral image shows Indian soldiers killed in India China face-off in Galwan Valley,Viral image shows Indian soldiers killed in India China face-off in Galwan Valley,misinformation,False,True,False
हाल में लद्दाख में भारतीय और चीनी सैनिकों के बीच हुई झड़प की तस्वीर,Picture of the recent clash between Indian and Chinese soldiers in Ladakh,misinformation,False,True,False
Video shows face-off between Indian and Chinese armies in Galwan Valley,Video shows face-off between Indian and Chinese armies in Galwan Valley,misinformation,False,True,False
"तस्वीर में दिख रहा चोटिल जवान उन्हीं भारतीय जवानों में से एक है, जिनकी चीनी सैनिकों के साथ गलवान घाटी में झड़प हुई थी.",The injured jawan seen in the picture is one of the same Indian soldiers who had a skirmish with Chinese soldiers in the Galwan Valley.,misinformation,False,True,False
Footage shows clash between Indian and Chinese troops in Galwan Valley on June 15.,Footage shows clash between Indian and Chinese troops in Galwan Valley on June 15.,misinformation,False,True,False
Image shows list of 56 Chinese soldiers killed during Galwan Valley clash with India on June 15,Image shows list of 56 Chinese soldiers killed during Galwan Valley clash with India on June 15,misinformation,False,True,False
